,test/roc,test/f1,test/accuracy,test/prc
bace_classification_umap_0,0.4190993010997772,0.5174129605293274,0.4596100151538849,0.4612053632736206
bace_classification_umap_1,0.4540281891822815,0.5836734771728516,0.5,0.5158601999282837
bace_classification_umap_2,0.4834820926189422,0.5970772504806519,0.5162907242774963,0.5249154567718506
bace_classification_umap_3,0.3822232484817505,0.3968871533870697,0.410646378993988,0.3847451210021972
bace_classification_umap_4,0.3942229747772217,0.40963855385780334,0.4212598502635956,0.37960201501846313
