,test/roc,test/f1,test/accuracy,test/prc
bace_classification_umap_0,0.4385474920272827,0.2959641218185425,0.3144104778766632,0.1810859143733978
bace_classification_umap_1,0.8280344009399414,0.718367338180542,0.7376425862312317,0.8086075782775879
bace_classification_umap_2,0.8172693252563477,0.7169811129570007,0.72826087474823,0.7915835380554199
bace_classification_umap_3,0.7943045496940613,0.4000000059604645,0.7434210777282715,0.506414532661438
bace_classification_umap_4,0.8328719139099121,0.7105262875556946,0.739130437374115,0.8084869980812073
