dataset,split_type,split_num,model,roc_auc
clintox,spectra_tanimoto,0.40_1,XGB,
clintox,spectra_tanimoto,0.40_1,SVM,
clintox,spectra_tanimoto,0.40_2,LogReg,0.9666666666666668
clintox,spectra_tanimoto,0.40_2,RF,0.5666666666666667
clintox,spectra_tanimoto,0.40_2,XGB,0.9833333333333334
clintox,spectra_tanimoto,0.40_2,SVM,0.43333333333333335
clintox,spectra_tanimoto,0.45_0,LogReg,
clintox,spectra_tanimoto,0.45_0,RF,
clintox,spectra_tanimoto,0.45_0,XGB,
clintox,spectra_tanimoto,0.45_0,SVM,
clintox,spectra_tanimoto,0.45_1,LogReg,
clintox,spectra_tanimoto,0.45_1,RF,
clintox,spectra_tanimoto,0.45_1,XGB,
clintox,spectra_tanimoto,0.45_1,SVM,
clintox,spectra_tanimoto,0.50_0,LogReg,
clintox,spectra_tanimoto,0.50_0,RF,
clintox,spectra_tanimoto,0.50_0,XGB,
clintox,spectra_tanimoto,0.50_0,SVM,
clintox,spectra_tanimoto,0.50_1,LogReg,
clintox,spectra_tanimoto,0.50_1,RF,
clintox,spectra_tanimoto,0.50_1,XGB,
clintox,spectra_tanimoto,0.50_1,SVM,
clintox,spectra_tanimoto,0.55_0,LogReg,
clintox,spectra_tanimoto,0.55_0,RF,
clintox,spectra_tanimoto,0.55_0,XGB,
clintox,spectra_tanimoto,0.55_0,SVM,
clintox,spectra_tanimoto,0.55_1,LogReg,
clintox,spectra_tanimoto,0.55_1,RF,
clintox,spectra_tanimoto,0.55_1,XGB,
clintox,spectra_tanimoto,0.55_1,SVM,
clintox,spectra_tanimoto,0.55_2,LogReg,
clintox,spectra_tanimoto,0.55_2,RF,
clintox,spectra_tanimoto,0.55_2,XGB,
clintox,spectra_tanimoto,0.55_2,SVM,
clintox,spectra_tanimoto,0.60_0,LogReg,
clintox,spectra_tanimoto,0.60_0,RF,
clintox,spectra_tanimoto,0.60_0,XGB,
clintox,spectra_tanimoto,0.60_0,SVM,
clintox,spectra_tanimoto,0.60_1,LogReg,
clintox,spectra_tanimoto,0.60_1,RF,
clintox,spectra_tanimoto,0.60_1,XGB,
clintox,spectra_tanimoto,0.60_1,SVM,
clintox,spectra_tanimoto,0.60_2,LogReg,
clintox,spectra_tanimoto,0.60_2,RF,
clintox,spectra_tanimoto,0.60_2,XGB,
clintox,spectra_tanimoto,0.60_2,SVM,
clintox,spectra_tanimoto,0.65_0,LogReg,
clintox,spectra_tanimoto,0.65_0,RF,
clintox,spectra_tanimoto,0.65_0,XGB,
clintox,spectra_tanimoto,0.65_0,SVM,
clintox,spectra_tanimoto,0.65_1,LogReg,
clintox,spectra_tanimoto,0.65_1,RF,
clintox,spectra_tanimoto,0.65_1,XGB,
clintox,spectra_tanimoto,0.65_1,SVM,
clintox,spectra_tanimoto,0.65_2,LogReg,
clintox,spectra_tanimoto,0.65_2,RF,
clintox,spectra_tanimoto,0.65_2,XGB,
clintox,spectra_tanimoto,0.65_2,SVM,
clintox,spectra_tanimoto,0.70_0,LogReg,
clintox,spectra_tanimoto,0.70_0,RF,
clintox,spectra_tanimoto,0.70_0,XGB,
clintox,spectra_tanimoto,0.70_0,SVM,
clintox,spectra_tanimoto,0.70_1,LogReg,
clintox,spectra_tanimoto,0.70_1,RF,
clintox,spectra_tanimoto,0.70_1,XGB,
clintox,spectra_tanimoto,0.70_1,SVM,
clintox,spectra_tanimoto,0.75_1,LogReg,
clintox,spectra_tanimoto,0.75_1,RF,
clintox,spectra_tanimoto,0.75_1,XGB,
clintox,spectra_tanimoto,0.75_1,SVM,
clintox,spectra_tanimoto,0.75_2,LogReg,
clintox,spectra_tanimoto,0.75_2,RF,
clintox,spectra_tanimoto,0.75_2,XGB,
clintox,spectra_tanimoto,0.75_2,SVM,
clintox,spectra_tanimoto,0.80_1,LogReg,0.5
clintox,spectra_tanimoto,0.80_1,RF,0.125
clintox,spectra_tanimoto,0.80_1,XGB,0.75
clintox,spectra_tanimoto,0.80_1,SVM,0.0
clintox,random,0,LogReg,0.8565133437749524
clintox,random,0,RF,0.8210427415392174
clintox,random,0,XGB,0.7660144493581476
clintox,random,0,SVM,0.8833567501996191
clintox,random,1,LogReg,0.8620550956396544
clintox,random,1,RF,0.8085971565199508
clintox,random,1,XGB,0.8538829185520362
clintox,random,1,SVM,0.8651418526326615
clintox,random,2,LogReg,0.8423856718820748
clintox,random,2,RF,0.7857748905770487
clintox,random,2,XGB,0.8201999798762389
clintox,random,2,SVM,0.8732331337727022
clintox,random,3,LogReg,0.8324030578860776
clintox,random,3,RF,0.7854082548977663
clintox,random,3,XGB,0.828436828565856
clintox,random,3,SVM,0.8731707106073618
clintox,random,4,LogReg,0.8801334630282
clintox,random,4,RF,0.7736023479444532
clintox,random,4,XGB,0.8172537258063574
clintox,random,4,SVM,0.8702930110824847
clintox,scaffold,0,LogReg,0.7806228190400419
clintox,scaffold,0,RF,0.7930607790370718
clintox,scaffold,0,XGB,0.7842422799559753
clintox,scaffold,0,SVM,0.8192451191992498
clintox,scaffold,1,LogReg,0.8856306245195134
clintox,scaffold,1,RF,0.8090919368697147
clintox,scaffold,1,XGB,0.7594209288653733
clintox,scaffold,1,SVM,0.8714913173246508
clintox,scaffold,2,LogReg,0.8398711169861203
clintox,scaffold,2,RF,0.7763473507380481
clintox,scaffold,2,XGB,0.740292465300727
clintox,scaffold,2,SVM,0.8747962106190791
clintox,scaffold,3,LogReg,0.7546648742063273
clintox,scaffold,3,RF,0.7254870237964035
clintox,scaffold,3,XGB,0.7369421522075887
clintox,scaffold,3,SVM,0.8082489147272582
clintox,scaffold,4,LogReg,0.7908088259526753
clintox,scaffold,4,RF,0.7838432246216338
clintox,scaffold,4,XGB,0.8165152697704172
clintox,scaffold,4,SVM,0.8624595406517446
clintox,umap,0,LogReg,0.838932869569265
clintox,umap,0,RF,0.7766704183692262
clintox,umap,0,XGB,0.8001902793715556
clintox,umap,0,SVM,0.868412764187659
clintox,umap,1,LogReg,0.8003634605412538
clintox,umap,1,RF,0.7147974107449525
clintox,umap,1,XGB,0.6667879488745839
clintox,umap,1,SVM,0.8256588941721859
clintox,umap,2,LogReg,0.7684815373723823
clintox,umap,2,RF,0.6955410937849318
clintox,umap,2,XGB,0.7399523297190551
clintox,umap,2,SVM,0.8160909670988896
clintox,umap,3,LogReg,0.8046578317955104
clintox,umap,3,RF,0.7063366323000693
clintox,umap,3,XGB,0.6974710581126893
clintox,umap,3,SVM,0.7652738122310548
clintox,umap,4,LogReg,0.8118426002157619
clintox,umap,4,RF,0.6777852927488562
clintox,umap,4,XGB,0.7016407808900587
clintox,umap,4,SVM,0.7653061858189221
