dataset,split_type,split_num,model,roc_auc
tox21,spectra_tanimoto,0.40_2,RF,
tox21,spectra_tanimoto,0.40_2,XGB,
tox21,spectra_tanimoto,0.40_2,SVM,
tox21,spectra_tanimoto,0.45_0,LogReg,
tox21,spectra_tanimoto,0.45_0,RF,
tox21,spectra_tanimoto,0.45_0,XGB,
tox21,spectra_tanimoto,0.45_0,SVM,
tox21,spectra_tanimoto,0.45_1,LogReg,
tox21,spectra_tanimoto,0.45_1,RF,
tox21,spectra_tanimoto,0.45_1,XGB,
tox21,spectra_tanimoto,0.45_1,SVM,
tox21,spectra_tanimoto,0.45_2,LogReg,
tox21,spectra_tanimoto,0.45_2,RF,
tox21,spectra_tanimoto,0.45_2,XGB,
tox21,spectra_tanimoto,0.45_2,SVM,
tox21,spectra_tanimoto,0.50_0,LogReg,
tox21,spectra_tanimoto,0.50_0,RF,
tox21,spectra_tanimoto,0.50_0,XGB,
tox21,spectra_tanimoto,0.50_0,SVM,
tox21,spectra_tanimoto,0.50_2,LogReg,
tox21,spectra_tanimoto,0.50_2,RF,
tox21,spectra_tanimoto,0.50_2,XGB,
tox21,spectra_tanimoto,0.50_2,SVM,
tox21,spectra_tanimoto,0.55_0,LogReg,
tox21,spectra_tanimoto,0.55_0,RF,
tox21,spectra_tanimoto,0.55_0,XGB,
tox21,spectra_tanimoto,0.55_0,SVM,
tox21,spectra_tanimoto,0.60_0,LogReg,
tox21,spectra_tanimoto,0.60_0,RF,
tox21,spectra_tanimoto,0.60_0,XGB,
tox21,spectra_tanimoto,0.60_0,SVM,
tox21,spectra_tanimoto,0.65_1,LogReg,
tox21,spectra_tanimoto,0.65_1,RF,
tox21,spectra_tanimoto,0.65_1,XGB,
tox21,spectra_tanimoto,0.65_1,SVM,
tox21,spectra_tanimoto,0.70_1,LogReg,
tox21,spectra_tanimoto,0.70_1,RF,
tox21,spectra_tanimoto,0.70_1,XGB,
tox21,spectra_tanimoto,0.70_1,SVM,
tox21,spectra_tanimoto,0.80_1,LogReg,
tox21,spectra_tanimoto,0.80_1,RF,
tox21,spectra_tanimoto,0.80_1,XGB,
tox21,spectra_tanimoto,0.80_1,SVM,
tox21,spectra_tanimoto,0.80_2,LogReg,
tox21,spectra_tanimoto,0.80_2,RF,
tox21,spectra_tanimoto,0.80_2,XGB,
tox21,spectra_tanimoto,0.80_2,SVM,
tox21,spectra_tanimoto,0.85_0,LogReg,
tox21,spectra_tanimoto,0.85_0,RF,
tox21,spectra_tanimoto,0.85_0,XGB,
tox21,spectra_tanimoto,0.85_0,SVM,
tox21,random,0,LogReg,0.7809200968302322
tox21,random,0,RF,0.799908143681283
tox21,random,0,XGB,0.7965429094153954
tox21,random,0,SVM,0.7921483666003742
tox21,random,1,LogReg,0.7895830699893777
tox21,random,1,RF,0.8265053907230288
tox21,random,1,XGB,0.7952655705182458
tox21,random,1,SVM,0.828606317915021
tox21,random,2,LogReg,0.7863380625673221
tox21,random,2,RF,0.8073275344856401
tox21,random,2,XGB,0.7888358505974508
tox21,random,2,SVM,0.8163780117210259
tox21,random,3,LogReg,0.7863651276555722
tox21,random,3,RF,0.8051851265549527
tox21,random,3,XGB,0.7806012229683194
tox21,random,3,SVM,0.8111272176953629
tox21,random,4,LogReg,0.77404230054003
tox21,random,4,RF,0.8105492435814488
tox21,random,4,XGB,0.783825022808462
tox21,random,4,SVM,0.8112863633389611
tox21,scaffold,0,LogReg,0.7097468535843556
tox21,scaffold,0,RF,0.7537319889286539
tox21,scaffold,0,XGB,0.7235845547583053
tox21,scaffold,0,SVM,0.7620585237176907
tox21,scaffold,1,LogReg,0.7406780771741329
tox21,scaffold,1,RF,0.7495749836102399
tox21,scaffold,1,XGB,0.7387360723381926
tox21,scaffold,1,SVM,0.758522168629148
tox21,scaffold,2,LogReg,0.7359240185639497
tox21,scaffold,2,RF,0.7616787285636134
tox21,scaffold,2,XGB,0.7415225654305773
tox21,scaffold,2,SVM,0.7766193262600377
tox21,scaffold,3,LogReg,0.7518703462431255
tox21,scaffold,3,RF,0.7665088039312907
tox21,scaffold,3,XGB,0.7573744823602365
tox21,scaffold,3,SVM,0.7836149634246968
tox21,scaffold,4,LogReg,0.7413099653404075
tox21,scaffold,4,RF,0.7637349905077918
tox21,scaffold,4,XGB,0.756901444187443
tox21,scaffold,4,SVM,0.7699820249829981
tox21,umap,0,LogReg,0.6594249632571029
tox21,umap,0,RF,0.6989924549725096
tox21,umap,0,XGB,0.6569450339631572
tox21,umap,0,SVM,0.7008895388549846
tox21,umap,1,LogReg,0.6587916823178247
tox21,umap,1,RF,0.6862996097539753
tox21,umap,1,XGB,0.6690606256903194
tox21,umap,1,SVM,0.6945460231987646
tox21,umap,2,LogReg,0.6450689507542536
tox21,umap,2,RF,0.6372906865145372
tox21,umap,2,XGB,0.6554939490475588
tox21,umap,2,SVM,0.6612241177693802
tox21,umap,3,LogReg,0.644957409621656
tox21,umap,3,RF,0.6653624030914664
tox21,umap,3,XGB,0.6590530617113766
tox21,umap,3,SVM,0.6688497488311821
tox21,umap,4,LogReg,0.6601386791448718
tox21,umap,4,RF,0.6707912098774411
tox21,umap,4,XGB,0.6716933929895834
tox21,umap,4,SVM,0.685093640785945
