dataset,split_type,split_num,model,roc_auc
bace,spectra_tanimoto,0.40_1,LogReg,0.6785714285714286
bace,spectra_tanimoto,0.40_1,RF,0.75
bace,spectra_tanimoto,0.40_1,XGB,0.6785714285714286
bace,spectra_tanimoto,0.40_1,SVM,0.25
bace,spectra_tanimoto,0.40_2,LogReg,0.6071428571428571
bace,spectra_tanimoto,0.40_2,RF,0.6428571428571428
bace,spectra_tanimoto,0.40_2,XGB,0.6428571428571428
bace,spectra_tanimoto,0.40_2,SVM,0.7857142857142857
bace,spectra_tanimoto,0.45_0,LogReg,0.6388888888888888
bace,spectra_tanimoto,0.45_0,RF,1.0
bace,spectra_tanimoto,0.45_0,XGB,0.75
bace,spectra_tanimoto,0.45_0,SVM,1.0
bace,spectra_tanimoto,0.45_1,LogReg,0.725
bace,spectra_tanimoto,0.45_1,RF,0.6
bace,spectra_tanimoto,0.45_1,XGB,0.75
bace,spectra_tanimoto,0.45_1,SVM,0.8
bace,spectra_tanimoto,0.45_2,LogReg,0.5
bace,spectra_tanimoto,0.45_2,RF,0.5833333333333334
bace,spectra_tanimoto,0.45_2,XGB,0.5833333333333334
bace,spectra_tanimoto,0.45_2,SVM,0.7500000000000001
bace,spectra_tanimoto,0.50_0,LogReg,0.13333333333333333
bace,spectra_tanimoto,0.50_0,RF,0.8
bace,spectra_tanimoto,0.50_0,XGB,0.2666666666666666
bace,spectra_tanimoto,0.50_0,SVM,0.8666666666666667
bace,spectra_tanimoto,0.50_1,LogReg,0.07142857142857145
bace,spectra_tanimoto,0.50_1,RF,0.4285714285714286
bace,spectra_tanimoto,0.50_1,XGB,0.2142857142857143
bace,spectra_tanimoto,0.50_1,SVM,0.5714285714285714
bace,spectra_tanimoto,0.50_2,LogReg,0.8333333333333334
bace,spectra_tanimoto,0.50_2,RF,1.0
bace,spectra_tanimoto,0.50_2,XGB,0.8333333333333334
bace,spectra_tanimoto,0.50_2,SVM,0.0
bace,spectra_tanimoto,0.55_0,LogReg,1.0
bace,spectra_tanimoto,0.55_0,RF,0.8
bace,spectra_tanimoto,0.55_0,XGB,1.0
bace,spectra_tanimoto,0.55_0,SVM,0.19999999999999996
bace,spectra_tanimoto,0.55_1,LogReg,0.5833333333333333
