dataset,split_type,split_num,model,roc_auc
sider,scaffold,2,LogReg,0.5973716324182151
sider,scaffold,2,RF,0.6287962123421201
sider,scaffold,2,XGB,0.6075693717287384
sider,scaffold,2,SVM,0.6068036318297808
sider,scaffold,3,LogReg,0.6001760965607991
sider,scaffold,3,RF,0.6164615749390492
sider,scaffold,3,XGB,0.5807327589276794
sider,scaffold,3,SVM,0.6158893360758279
sider,scaffold,4,LogReg,0.613514584119302
sider,scaffold,4,RF,0.6475596599596357
sider,scaffold,4,XGB,0.6340694389081596
sider,scaffold,4,SVM,0.6478300045904797
sider,umap,0,LogReg,0.5582881799188165
sider,umap,0,RF,0.561965445693355
sider,umap,0,XGB,0.5823488820952707
sider,umap,0,SVM,0.56620333747247
sider,umap,1,LogReg,0.5300108569624308
sider,umap,1,RF,0.5678137988229921
sider,umap,1,XGB,0.551325606636029
sider,umap,1,SVM,0.5617096730550656
sider,umap,2,LogReg,0.5423928035685092
sider,umap,2,RF,0.5556209968438776
sider,umap,2,XGB,0.5488496771046985
sider,umap,2,SVM,0.5496602533993228
sider,umap,3,LogReg,0.5464685909786919
sider,umap,3,RF,0.5650930840792983
sider,umap,3,XGB,0.5680571390061406
sider,umap,3,SVM,0.5529351791580542
sider,umap,4,LogReg,0.5726623747106664
sider,umap,4,RF,0.5731217545633539
sider,umap,4,XGB,0.5737614834109218
sider,umap,4,SVM,0.5383656438587947
