,test/roc,test/f1,test/accuracy,test/prc
sider_random_0,0.8250497579574585,0.80580073595047,0.7606837749481201,0.8481631278991699
sider_random_1,0.8266726732254028,0.8122653365135193,0.7668997645378113,0.8484733700752258
sider_random_2,0.8071797490119934,0.7983254790306091,0.7504532337188721,0.8314407467842102
sider_random_3,0.8309109210968018,0.8119515180587769,0.7668997645378113,0.8541733026504517
sider_random_4,0.8211971521377563,0.8094449043273926,0.7617197632789612,0.8498403429985046
