,test/rmse,test/mae,test/r2
lipo_random_0,0.7135207056999207,0.5635250806808472,0.6493045687675476
lipo_random_1,0.6965638399124146,0.551139771938324,0.6825437545776367
lipo_random_2,0.6836270093917847,0.5341814756393433,0.6656904816627502
lipo_random_3,0.6942243576049805,0.543828010559082,0.6683261394500732
lipo_random_4,0.7128111720085144,0.5612451434135437,0.6565573811531067
