,test/roc,test/f1,test/accuracy,test/prc
clintox_random_0,0.9641895294189452,0.9161073565483092,0.9155405163764954,0.9651036262512208
clintox_random_1,0.9903780221939088,0.9427609443664552,0.9425675868988036,0.9910156726837158
clintox_random_2,0.9820377230644226,0.9228187799453736,0.9222972989082336,0.9831302165985109
clintox_random_3,0.9753995537757874,0.9328858852386476,0.9324324131011964,0.974938154220581
clintox_random_4,0.983436107635498,0.9429529905319214,0.9425675868988037,0.984108567237854
