,test/roc,test/f1,test/accuracy,test/prc
bace_classification_random_0,0.8528382778167725,0.75,0.7887789011001587,0.789637565612793
bace_classification_random_1,0.8464642763137817,0.754325270652771,0.7656765580177307,0.7920366525650024
bace_classification_random_2,0.8422204256057739,0.7622377872467041,0.7755775451660156,0.7943979501724243
bace_classification_random_3,0.8562905788421631,0.7857142686843872,0.801980197429657,0.7965922355651855
bace_classification_random_4,0.8591457009315491,0.7770270109176636,0.7821782231330872,0.8363645076751709
