,test/roc,test/f1,test/accuracy,test/prc
hiv_random_0,0.8367190361022949,0.465753436088562,0.971546709537506,0.4428907632827759
hiv_random_1,0.9428836107254028,0.5734265446662903,0.9777480363845824,0.620797336101532
hiv_random_2,0.9369547367095948,0.5803571343421936,0.9771400690078736,0.6407954096794128
hiv_random_3,0.9484434127807616,0.5949656963348389,0.9784775972366332,0.6452798247337341
hiv_random_4,0.9320999383926392,0.5775862336158752,0.9761673212051392,0.6061487197875977
