,test/roc,test/f1,test/accuracy,test/prc
bace_classification_random_0,0.8468747138977051,0.7364341020584106,0.7755775451660156,0.7643462419509888
bace_classification_random_1,0.8444464206695557,0.761904776096344,0.7689769268035889,0.780207633972168
bace_classification_random_2,0.837973952293396,0.7665505409240723,0.7788779139518738,0.7848837375640869
bace_classification_random_3,0.8523864150047302,0.7816901206970215,0.7953795194625854,0.7843526601791382
bace_classification_random_4,0.8510656952857971,0.7666666507720947,0.7689769268035889,0.8235421180725098
