,dataset,silhouette_score
0,freesolv_0,0.38918912410736084
1,freesolv_1,0.3894612491130829
2,freesolv_2,0.4015720784664154
3,freesolv_3,0.44187086820602417
4,freesolv_4,0.44818994402885437
